TABLE_NAME COLUMN_NAME DATA_TYPE max_len IS_NULLABLE
---------- ----------- --------- ------- -----------
DASHBOARDS id int NULL NO
DASHBOARDS clave varchar 50 NO
DASHBOARDS nombre varchar 100 NO
DASHBOARDS descripcion varchar 255 YES
DASHBOARDS icono varchar 50 YES
EMPRESAS ID_EMPRESA int NULL YES
EMPRESAS NOMBRE_EMPRESA varchar 50 YES
EMPRESAS BD varchar 20 YES
EMPRESAS RUT varchar 30 YES
EMPRESAS NOMBRE_DYNAMICS varchar 10 YES
ExcelBonos ID_BONO int NULL NO
ExcelBonos FECHA_CREACION date NULL YES
ExcelBonos SOLICITANTE varchar MAX YES
ExcelBonos Nombre Solicitante varchar MAX YES
ExcelBonos RUT varchar 30 YES
ExcelBonos CODIGO_INSTALACION varchar 50 YES
ExcelBonos NOMBRE_COMPLETO varchar MAX YES
ExcelBonos INSTALACION varchar MAX YES
ExcelBonos CONTRATO varchar MAX YES
ExcelBonos SERVICIO varchar MAX YES
ExcelBonos CONCEPTO_BONO varchar MAX YES
ExcelBonos MONTO int NULL YES
ExcelBonos FECHA_DESDE date NULL YES
ExcelBonos FECHA_HASTA date NULL YES
ExcelBonos JUSTIFICACION_BONO varchar MAX YES
ExcelBonos ANEXO1 varchar MAX YES
ExcelBonos ANEXO2 varchar MAX YES
ExcelBonos ANEXO3 varchar MAX YES
ExcelBonos ESTADO int NULL YES
ExcelBonos DIRECTO_INDIRECTO varchar MAX YES
ExcelBonos id_zona int NULL YES
ExcelBonos Nombre_Zona varchar 50 YES
ExcelBonos Nombre_Empresa varchar 50 YES
ExcelBonos ID_EMPRESA int NULL YES
ExcelBonos ANEXO_FIRMADO varchar MAX YES
ExcelBonos FECHA_CIERRE date NULL YES
ExcelBonos DIAS varchar MAX YES
ExcelBonos Estado Ticket varchar 26 NO
HISTORICO_JUSTTIME ID_BONO int NULL NO
HISTORICO_JUSTTIME FECHA_CREACION date NULL YES
HISTORICO_JUSTTIME SOLICITANTE varchar MAX YES
HISTORICO_JUSTTIME RUT varchar 30 YES
HISTORICO_JUSTTIME CODIGO_INSTALACION int NULL YES
HISTORICO_JUSTTIME NOMBRE_COMPLETO varchar MAX YES
HISTORICO_JUSTTIME INSTALACION varchar MAX YES
HISTORICO_JUSTTIME CONTRATO varchar MAX YES
HISTORICO_JUSTTIME SERVICIO varchar MAX YES
HISTORICO_JUSTTIME CONCEPTO_BONO varchar MAX YES
HISTORICO_JUSTTIME MONTO int NULL YES
HISTORICO_JUSTTIME FECHA_DESDE date NULL YES
